year,month,value
1990,1,0.014315515756607
1990,2,0.0148297958076
1990,3,0.018205340951681
1990,4,0.017831318080425
1990,5,0.002270911820233
1990,6,0.012141991406679
1990,7,0.018922600895166
1990,8,0.014731600880623
1990,9,0.035057164728642
1990,10,0.026280287653208
1990,11,0.014760142192245
1990,12,0.019070211797953
1991,1,0.030754629522562
1991,2,0.018796319141984
1991,3,0.017550114542246
1991,4,0.008755054324865
1991,5,0.012819987721741
1991,6,0.046449653804302
1991,7,0.024799337610602
1991,8,0.031160268932581
1991,9,0.048949204385281
1991,10,0.025568045675755
1991,11,0.016233716160059
1991,12,0.01208682730794
1992,1,0.02069185115397
1992,2,0.019934177398682
1992,3,0.013511836528778
1992,4,0.012343227863312
1992,5,0.013936590403318
1992,6,0.026956763118506
1992,7,0.009458638727665
1992,8,0.022889431566
1992,9,0.040836852043867
1992,10,0.014356324449182
1992,11,0.020660303533077
1992,12,0.007246087305248
1993,1,0.021546296775341
1993,2,0.018568487837911
1993,3,0.009247836656868
1993,4,0.005061319097877
1993,5,0.021403944119811
1993,6,0.015773687511683
1993,7,0.015817692503333
1993,8,0.078268356621265
1993,9,0.031994786113501
1993,10,0.035264391452074
1993,11,0.011627204716206
1993,12,0.01846793666482
1994,1,0.009309725835919
1994,2,0.023516997694969
1994,3,0.023562721908093
1994,4,0.010024282149971
1994,5,0.02037631161511
1994,6,0.034765474498272
1994,7,0.019216863438487
1994,8,0.038593143224716
1994,9,0.034101404249668
1994,10,0.027856756001711
1994,11,0.020811885595322
1994,12,0.013344758190215
1995,1,0.010426080785692
1995,2,0.02300868742168
1995,3,0.022689081728458
1995,4,0.005005820654333
1995,5,0.010118508711457
1995,6,0.029444541782141
1995,7,0.037318080663681
1995,8,0.034565322101116
1995,9,0.04186711832881
1995,10,0.026229862123728
1995,11,0.049079164862633
1995,12,0.01606572419405
1996,1,0.019149469211698
1996,2,0.020332526415587
1996,3,0.014278428629041
1996,4,0.012482140213251
1996,5,0.037381652742624
1996,6,0.045098315924406
1996,7,0.071770042181015
1996,8,0.0358628295362
1996,9,0.069074988365173
1996,10,0.036839611828327
1996,11,0.010219165123999
1996,12,0.011512994766235
1997,1,0.012846712954342
1997,2,0.017295811325312
1997,3,0.020193625241518
1997,4,0.003802921622992
1997,5,0.013006662018597
1997,6,0.038118857890368
1997,7,0.030493166297674
1997,8,0.075457185506821
1997,9,0.044115468859673
1997,10,0.038089588284493
1997,11,0.013271849602461
1997,12,0.02095796354115
1998,1,0.01346548832953
1998,2,0.011976558715105
1998,3,0.014678394421935
1998,4,0.009199243038893
1998,5,0.017396977171302
1998,6,0.034347482025623
1998,7,0.032771363854408
1998,8,0.035956528037787
1998,9,0.037596721202135
1998,10,0.036307103931904
1998,11,0.012505787424743
1998,12,0.024073865264654
1999,1,0.007906133309007
1999,2,0.009902283549309
1999,3,0.027044590562582
1999,4,0.0150893246755
1999,5,0.015312395989895
1999,6,0.006270489655435
1999,7,0.046497773379088
1999,8,0.0786422342062
1999,9,0.051313444972038
1999,10,0.047576226294041
1999,11,0.010534214787185
1999,12,0.031866025179625
2000,1,0.020142203196883
2000,2,0.011808111332357
2000,3,0.011564388871193
2000,4,0.022633442655206
2000,5,0.012970983982086
2000,6,0.024243779480457
2000,7,0.032889414578676
2000,8,0.02601202763617
2000,9,0.034930139780045
2000,10,0.03398321941495
2000,11,0.022299772128463
2000,12,0.017329901456833
2001,1,0.021039064973593
2001,2,0.008492200635374
2001,3,0.007932714186609
2001,4,0.014117515645921
2001,5,0.014830981381238
2001,6,0.012350057251752
2001,7,0.035987038165331
2001,8,0.038717716932297
2001,9,0.01440916210413
2001,10,0.062403596937656
2001,11,0.01116425730288
2001,12,0.021351378411055
2002,1,0.015589371323586
2002,2,0.011714302003384
2002,3,0.013549553230405
2002,4,0.024637073278427
2002,5,0.006582140922546
2002,6,0.049631230533123
2002,7,0.026962459087372
2002,8,0.044204048812389
2002,9,0.024405084550381
2002,10,0.03294675052166
2002,11,0.019707228988409
2002,12,0.014523537829518
2003,1,0.012705427594483
2003,2,0.018570225685835
2003,3,0.01595413312316
2003,4,0.008373597636819
2003,5,0.034568261355162
2003,6,0.012037928216159
2003,7,0.082991071045399
2003,8,0.054164372384548
2003,9,0.07851243019104
2003,10,0.019847664982081
2003,11,0.030816081911326
2003,12,0.036307379603386
2004,1,0.035567421466112
2004,2,0.016265947371721
2004,3,0.031028795987368
2004,4,0.008689255453646
2004,5,0.008048073388636
2004,6,0.012937700375915
2004,7,0.049993917346001
2004,8,0.032630115747452
2004,9,0.03770200535655
2004,10,0.037725057452917
2004,11,0.01670902967453
2004,12,0.013505867682397
2005,1,0.034529514610767
2005,2,0.011302919127047
2005,3,0.023290362209082
2005,4,0.012573579326272
2005,5,0.020536821335554
2005,6,0.006906669586897
2005,7,0.049163289368153
2005,8,0.044092878699303
2005,9,0.046662166714668
2005,10,0.032644748687744
2005,11,0.043995551764965
2005,12,0.012060018256307
2006,1,0.008022355847061
2006,2,0.00763525813818
2006,3,0.013043123297393
2006,4,0.026182517409325
2006,5,0.012630820274353
2006,6,0.017141671851277
2006,7,0.028368854895234
2006,8,0.084021806716919
2006,9,0.020157486200333
2006,10,0.039020620286465
2006,11,0.021945925429463
2006,12,0.026780836284161
2007,1,0.0217150952667
2007,2,0.007153946906328
2007,3,0.011001564562321
2007,4,0.008895169943571
2007,5,0.024477124214172
2007,6,0.01155976112932
2007,7,0.025340650230646
2007,8,0.037094503641129
2007,9,0.011893630027771
2007,10,0.030246475711465
2007,11,0.02411674335599
2007,12,0.018425285816193
2008,1,0.027536824345589
2008,2,0.014947639778257
2008,3,0.017072856426239
2008,4,0.01324450597167
2008,5,0.032088007777929
2008,6,0.02181863412261
2008,7,0.04513243585825
2008,8,0.024103671312332
2008,9,0.068019822239876
2008,10,0.060519814491272
2008,11,0.021915700286627
2008,12,0.015353283844888
2009,1,0.019190393388271
2009,2,0.017785785719752
2009,3,0.016708310693503
2009,4,0.008314119651914
2009,5,0.01933928579092
2009,6,0.00936733186245
2009,7,0.007912814617157
2009,8,0.041193917393684
2009,9,0.059352584183216
2009,10,0.036042686551809
2009,11,0.026835963129997
2009,12,0.032524719834328
2010,1,0.023488987237215
2010,2,0.025573682039976
2010,3,0.008587526157498
2010,4,0.007116923108697
2010,5,0.006393468007445
2010,6,0.024256912991405
2010,7,0.044535167515278
2010,8,0.101458616554737
2010,9,0.02505799382925
2010,10,0.046549394726753
2010,11,0.047628067433834
2010,12,0.016849640756846
2011,1,0.016313876956701
2011,2,0.022945621982217
2011,3,0.010897102765739
2011,4,0.015008796937764
2011,5,0.007833201438189
2011,6,0.031877655535936
2011,7,0.028726879507303
2011,8,0.020198050886393
2011,9,0.049285341054201
2011,10,0.033382050693035
2011,11,0.020658724009991
2011,12,0.021232426166535
2012,1,0.030159592628479
2012,2,0.016756277531386
2012,3,0.015824472531676
2012,4,0.006984252482653
2012,5,0.025620266795158
2012,6,0.009062945842743
2012,7,0.029774598777294
2012,8,0.038375832140446
2012,9,0.055651754140854
2012,10,0.077881507575512
2012,11,0.040619887411594
2012,12,0.010076860897243
2013,1,0.028960008174181
2013,2,0.021568305790424
2013,3,0.01839267089963
2013,4,0.032222058624029
2013,5,0.010512037202716
2013,6,0.0492995493114
2013,7,0.068066358566284
2013,8,0.04598019272089
2013,9,0.054931960999966
2013,10,0.022670155391097
2013,11,0.040154200047255
2013,12,0.032111991196871
2014,1,0.027939092367888
2014,2,0.017718441784382
2014,3,0.007125687785447
2014,4,0.013660338707268
2014,5,0.037153650075197
2014,6,0.039246015250683
2014,7,0.045702561736107
2014,8,0.036360960453749
2014,9,0.050424352288246
2014,10,0.071953736245632
2014,11,0.00893556792289
2014,12,0.014688255265355
2015,1,0.019652370363474
2015,2,0.01438064686954
2015,3,0.015297682955861
2015,4,0.010472731664777
2015,5,0.006715875118971
2015,6,0.023777890950441
2015,7,0.019096154719591
2015,8,0.086511477828026
2015,9,0.06512825191021
2015,10,0.030164901167154
2015,11,0.016724247485399
2015,12,0.009379273280501
