id;lat;lon;z;date
JBSA01E;69.57124103;-138.896342;-1.982937;2016-08-02T22:18:10Z
JBSA01W;69.57096099;-138.898195;1.628357;2016-08-02T21:59:11Z
JBSA02E;69.57282202;-138.896964;0.269848;2016-08-02T22:56:39Z
JBSA02W;69.57254902;-138.898956;-0.39324;2016-08-02T22:34:52Z
JBSA03E;69.573595;-138.898019;-3.158288;2016-08-03T00:05:26Z
JBSA03W;69.573394;-138.900039;-3.142876;2016-08-02T23:02:02Z
JBSA04E;69.57408501;-138.898194;-0.226276;2016-08-03T00:03:26Z
JBSA04W;69.57390002;-138.900299;4.831785;2016-08-02T23:30:38Z
JBSA05E;69.57473402;-138.899056;4.599357;2016-08-03T00:01:35Z
JBSA05W;69.57443898;-138.901409;9.515285;2016-08-02T23:48:37Z
