"","AIC","pseudo.R2m","pseudo.R2c","LR.p","LR.X"
"null",143.58023951645,0,0.0257424128818102,"-","-"
"P1",145.122275663394,0.00217653400497332,0.0297852177962137,"0.498577109671084","0.457963853056071"
"P2",144.935847840204,0.00319495198713069,0.0300576354030211,"0.42212496735357","0.644391676246158"
"P5",139.012928425722,0.0282695969373625,0.0290639449260223,"0.0103868764024935","6.5673110907278"
"pPx",145.28250908779,0.00132558578927128,0.0292169727583885,"0.585308748826104","0.297730428660486"
"Px",144.698310915126,0.00430916389307703,0.0308931519504045,"0.347673994686241","0.881928601324091"
"ptsummer",145.576865334807,1.05113738067344e-05,0.0315280539700912,"0.953678766675928","0.00337418164275505"
"ptautumn",141.320708972665,0.0198041899435193,0.0309287412173299,"0.0390307063264608","4.25953054378559"
"twinter",145.202710315364,0.00197186393033005,0.0312203927973741,"0.538928541356854","0.377529201086446"
"tspring",145.423935018635,0.00085100525301786,0.0318793449377294,"0.692581920557644","0.156304497815199"
"tsummer",139.086899871734,0.0280281163926508,0.0280281163926508,"0.0108279374494846","6.49333964471606"
"tautumn",143.467309705027,0.0104227497424434,0.0303903914721764,"0.146059445802425","2.11292981142299"
"ppsummer",145.157666284489,0.00231888587321733,0.0319149809891433,"0.515655836317008","0.422573231961366"
"ppautumn",145.499950698385,0.000291372590762234,0.0300057639446912,"0.776906394497475","0.080288818064929"
"pwinter",145.567105238866,6.4203653245982e-05,0.0314032050145391,"0.908758314754647","0.013134277584129"
"pspring",145.545784390217,0.000174143327845251,0.0318642957143526,"0.852742046267218","0.0344551262335528"
"psummer",145.46914710685,0.000569127425269905,0.031683549075133,"0.738903854263024","0.111092409600332"
"pautumn",145.568914346398,9.23484151798766e-05,0.0316979774507749,"0.915249298241302","0.0113251700525723"
"NDVImodis",145.506569920327,0.000338994467823408,0.030140515235629,"0.786066916792971","0.0736695961235228"
"min.extent",144.183799115908,0.00570926681709992,0.0246657326901278,"0.237320473938401","1.39644040054162"
"onset.melt",142.745703706031,0.0127753520330222,0.0279209066331869,"0.0922574566383091","2.83453581041897"
